Category: All categories,
,
Week,chess: (United States)
2020-03-15,32
2020-03-22,42
2020-03-29,40
2020-04-05,39
2020-04-12,40
2020-04-19,37
2020-04-26,38
2020-05-03,33
2020-05-10,34
2020-05-17,34
2020-05-24,36
2020-05-31,37
2020-06-07,41
2020-06-14,42
2020-06-21,37
2020-06-28,36
2020-07-05,36
2020-07-12,34
2020-07-19,35
2020-07-26,34
2020-08-02,33
2020-08-09,33
2020-08-16,34
2020-08-23,31
2020-08-30,31
2020-09-06,31
2020-09-13,31
2020-09-20,30
2020-09-27,30
2020-10-04,29
2020-10-11,29
2020-10-18,31
2020-10-25,71
2020-11-01,60
2020-11-08,75
2020-11-15,82
2020-11-22,100
2020-11-29,83
2020-12-06,80
2020-12-13,77
2020-12-20,85
2020-12-27,83
2021-01-03,68
2021-01-10,64
2021-01-17,65
2021-01-24,61
2021-01-31,59
2021-02-07,54
2021-02-14,56
2021-02-21,56
2021-02-28,53